species_id,species_name,population,year,habitat_region,diet,avg_lifespan,social_behavior,genetic_variation,health_status,latitude,longitude
93,Orangutan,680,2011,Southeast Asia,Frugivore,41,Solitary,0.01,Critically Endangered,0.7893,113.9213
94,Gibbon,1300,2011,Southeast Asia,Omnivore,27,Pair,0.015,Healthy,1.9571,102.4776
95,Bonobo,2300,2011,Central Africa,Herbivore,36,Group,0.025,Vulnerable,-3.4167,23.4167
96,Lemur,1800,2011,Madagascar,Herbivore,21,Group,0.03,Endangered,-18.7669,46.8691
97,Tarsier,910,2011,Southeast Asia,Insectivore,10,Solitary,0.02,Near Threatened,9.5573,123.3456
98,Howler Monkey,1000,2011,South America,Frugivore,16,Group,0.015,Healthy,-13.1639,-59.0311
99,Spider Monkey,720,2011,South America,Frugivore,21,Group,0.02,Vulnerable,-15.601,-56.0961
100,Macaque,2600,2011,East Asia,Omnivore,31,Group,0.03,Healthy,31.2304,121.4737
101,Gorilla,750,2010,Central Africa,Herbivore,30,Group,0.02,Healthy,-1.9403,29.8739
102,Chimpanzee,4400,2010,West Africa,Omnivore,35,Group,0.03,Endangered,7.5399,-5.5471
103,Orangutan,670,2010,Southeast Asia,Frugivore,40,Solitary,0.01,Critically Endangered,0.7893,113.9213
104,Gibbon,1250,2010,Southeast Asia,Omnivore,26,Pair,0.015,Healthy,1.9571,102.4776
105,Bonobo,2250,2010,Central Africa,Herbivore,35,Group,0.025,Vulnerable,-3.4167,23.4167
106,Lemur,1750,2010,Madagascar,Herbivore,20,Group,0.03,Endangered,-18.7669,46.8691
107,Tarsier,890,2010,Southeast Asia,Insectivore,10,Solitary,0.02,Near Threatened,9.5573,123.3456
108,Howler Monkey,950,2010,South America,Frugivore,15,Group,0.015,Healthy,-13.1639,-59.0311
109,Spider Monkey,700,2010,South America,Frugivore,20,Group,0.02,Vulnerable,-15.601,-56.0961
110,Macaque,2500,2010,East Asia,Omnivore,30,Group,0.03,Healthy,31.2304,121.4737
111,Gorilla,900,2009,Central Africa,Herbivore,33,Group,0.02,Healthy,-1.9403,29.8739
112,Chimpanzee,4700,2009,West Africa,Omnivore,38,Group,0.03,Endangered,7.5399,-5.5471
113,Orangutan,700,2009,Southeast Asia,Frugivore,43,Solitary,0.01,Critically Endangered,0.7893,113.9213
114,Gibbon,1400,2009,Southeast Asia,Omnivore,29,Pair,0.015,Healthy,1.9571,102.4776
115,Bonobo,2400,2009,Central Africa,Herbivore,38,Group,0.025,Vulnerable,-3.4167,23.4167
116,Lemur,1900,2009,Madagascar,Herbivore,23,Group,0.03,Endangered,-18.7669,46.8691
117,Tarsier,950,2009,Southeast Asia,Insectivore,11,Solitary,0.02,Near Threatened,9.5573,123.3456
118,Howler Monkey,1100,2009,South America,Frugivore,18,Group,0.015,Healthy,-13.1639,-59.0311
119,Spider Monkey,760,2009,South America,Frugivore,23,Group,0.02,Vulnerable,-15.601,-56.0961
120,Macaque,2800,2009,East Asia,Omnivore,33,Group,0.03,Healthy,31.2304,121.4737
121,Gorilla,850,2008,Central Africa,Herbivore,32,Group,0.02,Healthy,-1.9403,29.8739
122,Chimpanzee,4600,2008,West Africa,Omnivore,37,Group,0.03,Endangered,7.5399,-5.5471
123,Orangutan,690,2008,Southeast Asia,Frugivore,42,Solitary,0.01,Critically Endangered,0.7893,113.9213
124,Gibbon,1350,2008,Southeast Asia,Omnivore,28,Pair,0.015,Healthy,1.9571,102.4776
125,Bonobo,2350,2008,Central Africa,Herbivore,37,Group,0.025,Vulnerable,-3.4167,23.4167
126,Lemur,1850,2008,Madagascar,Herbivore,22,Group,0.03,Endangered,-18.7669,46.8691
127,Tarsier,930,2008,Southeast Asia,Insectivore,11,Solitary,0.02,Near Threatened,9.5573,123.3456
128,Howler Monkey,1050,2008,South America,Frugivore,17,Group,0.015,Healthy,-13.1639,-59.0311
129,Spider Monkey,740,2008,South America,Frugivore,22,Group,0.02,Vulnerable,-15.601,-56.0961
130,Macaque,2700,2008,East Asia,Omnivore,32,Group,0.03,Healthy,31.2304,121.4737
131,Gorilla,800,2007,Central Africa,Herbivore,31,Group,0.02,Healthy,-1.9403,29.8739
132,Chimpanzee,4500,2007,West Africa,Omnivore,36,Group,0.03,Endangered,7.5399,-5.5471
133,Orangutan,680,2007,Southeast Asia,Frugivore,41,Solitary,0.01,Critically Endangered,0.7893,113.9213
134,Gibbon,1300,2007,Southeast Asia,Omnivore,27,Pair,0.015,Healthy,1.9571,102.4776
135,Bonobo,2300,2007,Central Africa,Herbivore,36,Group,0.025,Vulnerable,-3.4167,23.4167
136,Lemur,1800,2007,Madagascar,Herbivore,21,Group,0.03,Endangered,-18.7669,46.8691
137,Tarsier,910,2007,Southeast Asia,Insectivore,10,Solitary,0.02,Near Threatened,9.5573,123.3456
138,Howler Monkey,1000,2007,South America,Frugivore,16,Group,0.015,Healthy,-13.1639,-59.0311
139,Spider Monkey,720,2007,South America,Frugivore,21,Group,0.02,Vulnerable,-15.601,-56.0961
140,Macaque,2600,2007,East Asia,Omnivore,31,Group,0.03,Healthy,31.2304,121.4737
141,Gorilla,750,2006,Central Africa,Herbivore,30,Group,0.02,Healthy,-1.9403,29.8739
142,Chimpanzee,4400,2006,West Africa,Omnivore,35,Group,0.03,Endangered,7.5399,-5.5471
143,Orangutan,670,2006,Southeast Asia,Frugivore,40,Solitary,0.01,Critically Endangered,0.7893,113.9213
144,Gibbon,1250,2006,Southeast Asia,Omnivore,26,Pair,0.015,Healthy,1.9571,102.4776
145,Bonobo,2250,2006,Central Africa,Herbivore,35,Group,0.025,Vulnerable,-3.4167,23.4167
146,Lemur,1750,2006,Madagascar,Herbivore,20,Group,0.03,Endangered,-18.7669,46.8691
147,Tarsier,890,2006,Southeast Asia,Insectivore,10,Solitary,0.02,Near Threatened,9.5573,123.3456
148,Howler Monkey,950,2006,South America,Frugivore,15,Group,0.015,Healthy,-13.1639,-59.0311
149,Spider Monkey,700,2006,South America,Frugivore,20,Group,0.02,Vulnerable,-15.601,-56.0961
150,Macaque,2500,2006,East Asia,Omnivore,30,Group,0.03,Healthy,31.2304,121.4737
